"","location","species","time"
"4","SO34","Species 11",1
"6","SO37","Species 11",1
"10","SO43","Species 11",2
"13","SO34","Species 11",1
"14","SN96","Species 11",1
"15","SO43","Species 11",2
"16","SN96","Species 11",2
"19","SO05","Species 11",1
"21","SO05","Species 11",1
"22","SN62","Species 11",2
"24","SE98","Species 34",1
"26","NX91","Species 15",2
"28","NO15","Species 15",1
"33","TQ53","Species 15",2
"34","SE88","Species 15",2
"37","NZ03","Species 15",1
"39","SO77","Species 15",1
"40","SO30","Species 34",2
"41","SK19","Species 15",1
"43","SO05","Species 15",1
"44","SO02","Species 15",1
"45","NT94","Species 15",1
"47","SN43","Species 15",2
"48","SN96","Species 15",2
"49","TQ06","Species 15",1
"50","ST90","Species 34",1
"51","SU86","Species 15",2
"52","SE71","Species 15",1
"53","NZ02","Species 15",1
"54","NY22","Species 15",2
"56","SE58","Species 34",1
"58","SP37","Species 15",1
"60","NY12","Species 15",2
"62","SN78","Species 15",1
"70","NH91","Species 15",1
"71","SH72","Species 15",2
"73","SE26","Species 15",1
"75","SU20","Species 15",1
"76","SO32","Species 34",2
"80","NZ02","Species 15",1
"81","SE58","Species 15",1
"82","SY39","Species 15",1
"83","TQ55","Species 15",2
"86","SE74","Species 15",1
"87","SN64","Species 15",2
"88","NO25","Species 15",1
"89","NZ13","Species 15",1
"90","SH70","Species 15",1
"91","SN61","Species 15",2
"92","SO12","Species 15",2
"93","SN03","Species 15",1
"94","SN51","Species 15",1
"95","SO96","Species 34",1
"96","SP37","Species 15",1
"97","NY95","Species 15",1
"98","SK41","Species 15",1
"100","NY35","Species 15",1
"101","SX99","Species 15",2
"102","SN30","Species 15",1
"104","SU84","Species 15",2
"105","SH75","Species 15",1
"107","SY79","Species 15",2
"108","TQ24","Species 34",2
"109","NZ03","Species 15",1
"114","NH05","Species 15",1
"116","SN62","Species 34",2
"117","NH53","Species 15",2
"118","SO09","Species 15",1
"119","SN68","Species 15",1
"123","SE58","Species 34",2
"127","SO94","Species 15",2
"128","NZ15","Species 15",1
"130","SD75","Species 15",2
"133","SN30","Species 15",2
"134","SK51","Species 15",2
"135","SN52","Species 15",1
"136","SU56","Species 15",1
"137","NY11","Species 15",2
"140","SO09","Species 15",2
"142","SO90","Species 34",2
"143","SN30","Species 15",2
"148","SJ23","Species 15",2
"150","SU26","Species 15",2
"158","ST11","Species 15",1
"162","SN67","Species 15",1
"165","SJ20","Species 15",2
"167","SY79","Species 15",2
"168","NJ01","Species 15",2
"169","SK41","Species 15",1
"170","SO06","Species 15",1
"171","SU30","Species 34",1
"172","SD39","Species 15",1
"177","NY95","Species 15",1
"178","SO12","Species 15",2
"186","TQ53","Species 15",1
"187","SH72","Species 15",2
"189","SN69","Species 15",1
"192","NJ01","Species 15",2
"193","NH05","Species 15",1
"196","SN72","Species 15",2
"197","SO22","Species 15",2
"199","NT61","Species 15",1
"200","SX88","Species 15",1
"202","NY30","Species 15",1
"203","NZ02","Species 15",1
"207","SN13","Species 15",1
"210","SN46","Species 15",1
"213","NX46","Species 15",1
"215","NY37","Species 15",2
"223","SN62","Species 15",2
"228","NZ02","Species 15",1
"229","SX88","Species 15",1
"231","TG12","Species 15",1
"233","SO12","Species 15",2
"235","SE89","Species 15",2
"236","SZ68","Species 15",1
"238","SO30","Species 15",2
"239","SH64","Species 15",2
"242","SO09","Species 15",2
"243","NY13","Species 15",1
"244","SU20","Species 15",1
"248","SO90","Species 34",2
"249","ST07","Species 15",1
"250","ST07","Species 15",1
"251","NZ04","Species 15",2
"257","NH80","Species 15",1
"263","NZ03","Species 15",1
"264","NY10","Species 15",2
"265","SO37","Species 34",1
"266","SH57","Species 15",2
"267","SU94","Species 15",2
"269","SY89","Species 15",2
"274","NY68","Species 15",2
"277","SH75","Species 15",1
"281","NY00","Species 15",2
"283","SU30","Species 15",1
"284","NZ02","Species 15",1
"286","SO37","Species 15",1
"289","SE35","Species 15",1
"295","SE68","Species 34",1
"297","NS79","Species 15",1
"298","SO05","Species 15",1
"299","NY01","Species 15",2
"304","ST30","Species 15",1
"307","SU20","Species 15",2
"309","NT62","Species 15",2
"310","SN40","Species 15",1
"312","SP27","Species 15",1
"316","SO05","Species 34",1
"318","SH57","Species 15",1
"319","SE88","Species 15",2
"320","ST22","Species 15",2
"323","SH64","Species 15",2
"324","NY11","Species 15",2
"325","SU20","Species 15",2
"326","SU56","Species 15",2
"331","SK90","Species 34",2
"333","SU75","Species 15",2
"336","SJ05","Species 15",2
"338","SN69","Species 34",1
"340","NY10","Species 15",2
"342","SU21","Species 15",1
"343","SK66","Species 15",2
"346","SO09","Species 15",1
"348","SP37","Species 34",1
"358","SY79","Species 15",2
"359","SH65","Species 15",2
"361","SK47","Species 34",1
"364","SO87","Species 15",1
"365","SK51","Species 15",1
"369","NZ80","Species 34",1
"372","NX91","Species 15",2
"374","NH30","Species 15",2
"376","NO15","Species 15",1
"377","SJ51","Species 15",2
"382","SJ35","Species 15",2
"383","SH46","Species 15",1
"385","SH72","Species 15",2
"388","NY01","Species 15",2
"391","SH87","Species 15",1
"393","SO77","Species 34",1
"397","SJ30","Species 15",2
"400","SN63","Species 15",2
"401","SJ11","Species 15",1
"403","SE70","Species 15",1
"404","SN77","Species 15",1
"405","SH33","Species 15",2
"406","SU96","Species 15",2
"410","NC02","Species 15",1
"412","SE60","Species 15",1
"413","SJ35","Species 15",2
"414","SN96","Species 15",1
"419","SK41","Species 15",2
"421","NY01","Species 15",2
"422","SJ91","Species 15",1
"423","SO12","Species 34",2
"425","NH69","Species 15",1
"426","NH05","Species 15",1
"427","TG04","Species 15",2
"428","SU75","Species 15",2
"430","SN62","Species 15",2
"433","SH72","Species 15",2
"434","SK51","Species 15",1
"438","SK27","Species 15",1
"440","SK29","Species 15",2
"441","TQ83","Species 15",1
"444","SK19","Species 15",1
"445","SN40","Species 15",1
"449","SO14","Species 34",2
"452","SE71","Species 15",1
"456","SO37","Species 15",1
"458","NN33","Species 15",1
"459","NH59","Species 15",1
"460","SJ91","Species 15",1
"461","SO05","Species 15",1
"462","NS46","Species 15",1
"463","NN55","Species 15",1
"466","SN96","Species 15",1
"469","NY12","Species 15",2
"471","SN96","Species 34",2
"472","SY78","Species 15",2
"473","NC13","Species 15",1
"476","NY11","Species 15",2
"481","SN30","Species 15",2
"482","NH91","Species 15",2
"484","SD39","Species 15",1
"489","TM35","Species 15",2
"490","SN96","Species 15",2
"491","SP37","Species 15",1
"492","SU21","Species 15",1
"495","SU93","Species 15",2
"497","NY11","Species 15",2
"500","SY99","Species 15",1
"501","TQ14","Species 15",2
"503","SO41","Species 15",1
"504","SE68","Species 15",1
"506","NZ02","Species 15",1
"509","SN62","Species 15",2
"510","SN69","Species 15",1
"513","SN45","Species 15",2
"515","SN94","Species 15",1
"517","SP37","Species 34",1
"520","SE30","Species 15",1
"524","SP31","Species 34",1
"525","SH82","Species 15",1
"526","SE58","Species 15",1
"528","SN63","Species 15",2
"530","SS43","Species 34",1
"534","NY10","Species 15",2
"535","NX91","Species 15",2
"537","ST99","Species 34",1
"539","NX91","Species 15",2
"545","ST03","Species 15",2
"547","SO05","Species 15",1
"549","SS74","Species 34",1
"550","SN50","Species 15",2
"551","SE61","Species 15",1
"552","NJ03","Species 15",2
"553","ST43","Species 15",2
"555","SN30","Species 15",1
"558","SJ34","Species 15",2
"559","SN69","Species 15",1
"560","SN64","Species 15",2
"561","NO25","Species 15",1
"563","SN69","Species 15",1
"564","SN97","Species 15",2
"566","ST74","Species 15",1
"574","ST21","Species 15",1
"576","NY11","Species 15",2
"577","ST59","Species 15",1
"578","SU20","Species 15",1
"582","NJ01","Species 15",2
"583","SH61","Species 15",1
"584","SU20","Species 15",1
"586","ST21","Species 15",1
"587","TQ34","Species 34",2
"588","SN96","Species 15",1
"590","SJ23","Species 15",2
"593","SS74","Species 15",1
"594","SH46","Species 15",1
"601","SX88","Species 15",1
"603","NT51","Species 15",1
"605","SN30","Species 15",2
"606","SN42","Species 15",2
"607","ST40","Species 15",1
"609","SK51","Species 10",1
"611","SH71","Species 15",2
"613","TQ23","Species 15",1
"614","NT60","Species 15",1
"615","SJ57","Species 15",1
"616","SO04","Species 15",1
"617","SO00","Species 15",1
"620","SU63","Species 15",2
"622","SK19","Species 15",1
"624","SU20","Species 10",1
"628","SK41","Species 15",1
"631","TL77","Species 10",1
"633","SE88","Species 15",1
"634","TQ53","Species 15",1
"637","SP11","Species 10",1
"640","SN77","Species 15",1
"642","SU93","Species 15",2
"643","SU97","Species 10",1
"644","SJ43","Species 15",1
"645","SU30","Species 15",1
"647","SP37","Species 15",1
"650","NX46","Species 15",1
"651","NS42","Species 15",1
"653","SE50","Species 15",1
"656","SN31","Species 15",2
"658","SU76","Species 10",1
"660","NH80","Species 15",2
"661","TG04","Species 15",2
"666","ST66","Species 10",1
"668","SN79","Species 15",1
"671","TF04","Species 15",2
"673","NY18","Species 15",1
"674","SU30","Species 15",2
"676","NC11","Species 15",1
"677","SN45","Species 15",1
"680","SH87","Species 15",1
"682","SP60","Species 10",1
"689","SU83","Species 15",1
"694","SJ17","Species 15",1
"696","ST44","Species 15",1
"698","NN91","Species 15",2
"699","SU73","Species 15",2
"703","TQ05","Species 15",1
"704","SK66","Species 15",2
"705","SJ01","Species 15",2
"707","NC50","Species 15",1
"708","SE35","Species 15",1
"713","TF62","Species 15",1
"714","NJ51","Species 15",2
"715","SH62","Species 15",1
"716","SU33","Species 15",2
"724","SK51","Species 10",1
"727","NH91","Species 46",2
"730","SK62","Species 10",1
"734","NN24","Species 46",1
"737","SU20","Species 10",1
"747","SU30","Species 10",2
"752","SO46","Species 10",2
"757","NH80","Species 46",1
"764","NH32","Species 46",2
"767","TL85","Species 10",2
"771","NN54","Species 46",1
"774","SK51","Species 10",1
"788","NH80","Species 46",1
"795","NH64","Species 46",1
"798","NH70","Species 46",1
"805","NJ02","Species 46",1
"806","NH90","Species 46",2
"809","NO49","Species 46",2
"816","NH91","Species 46",2
"817","SN57","Species 3",1
